7,39,38,215
x,y,z
1.72336,1.51032,7.93
1.72715,1.49201,7.947
1.72898,1.47193,7.955
1.70838,1.45118,7.959
1.73038,1.45145,7.961
1.71019,1.43102,7.967
1.73134,1.43057,7.965
1.71329,1.41188,7.981
1.73426,1.41126,7.978
1.71596,1.39231,7.993
1.73739,1.39205,7.992
1.73813,1.37087,7.995
1.7173,1.32806,7.998
1.02551,0.848125,5.983
1.04229,0.848495,5.986
1.05642,0.846739,5.974
0.999025,0.823423,5.922
1.0266,0.832685,5.989
1.04408,0.833603,5.996
1.05807,0.831741,5.983
1.07414,0.831547,5.982
1.0891,0.830518,5.975
1.10606,0.831018,5.979
1.12172,0.830545,5.976
0.868065,0.805668,5.907
0.874405,0.796754,5.842
0.887247,0.793979,5.822
0.968545,0.795502,5.835
0.995872,0.804721,5.903
1.02648,0.816255,5.988
1.04431,0.817428,5.997
1.05883,0.816011,5.987
1.07401,0.815138,5.981
1.09098,0.815629,5.985
1.10834,0.816391,5.991
0.87017,0.79146,5.921
0.873405,0.779917,5.835
0.885162,0.776261,5.808
0.899561,0.77501,5.799
0.913594,0.773492,5.788
0.928687,0.772909,5.784
0.945716,0.773928,5.792
0.968264,0.779357,5.833
0.997949,0.790261,5.915
1.02773,0.800897,5.995
1.04576,0.80218,6.005
1.0603,0.800791,5.995
1.07407,0.798867,5.981
1.09012,0.798679,5.98
1.10765,0.79956,5.987
1.12935,0.803377,6.016
0.859929,0.766174,5.851
0.872704,0.763378,5.83
0.885362,0.760582,5.809
0.898989,0.758701,5.795
0.913326,0.757476,5.786
0.928736,0.757166,5.784
0.946745,0.75895,5.798
0.969808,0.76466,5.842
0.999687,0.775473,5.925
1.02984,0.786153,6.007
1.04755,0.787148,6.015
1.06071,0.78474,5.997
1.07592,0.783902,5.991
1.092,0.783717,5.99
1.11067,0.785364,6.003
1.13334,0.789758,6.037
0.873798,0.748402,5.837
0.886932,0.746048,5.819
0.899656,0.743437,5.799
0.913373,0.741724,5.786
0.929266,0.741805,5.787
0.94859,0.744577,5.809
0.972015,0.750424,5.855
0.998556,0.758449,5.918
1.03401,0.77288,6.031
1.05144,0.773597,6.037
1.06536,0.771751,6.023
1.081,0.771186,6.019
1.09771,0.771389,6.021
1.11646,0.773001,6.034
0.877885,0.735895,5.864
0.888807,0.731709,5.831
0.901099,0.728777,5.808
0.915157,0.72735,5.797
0.931561,0.727806,5.801
0.950271,0.730017,5.819
0.971234,0.733858,5.85
1.03595,0.757843,6.042
1.0541,0.759046,6.052
1.07001,0.758618,6.049
1.08644,0.758566,6.049
1.10086,0.757135,6.038
1.11836,0.757835,6.044
0.879277,0.72103,5.873
0.890224,0.716933,5.84
0.902696,0.714188,5.818
0.917097,0.713038,5.809
0.933856,0.713728,5.815
0.949991,0.713927,5.817
0.970617,0.717439,5.846
1.03823,0.742989,6.055
1.05607,0.743921,6.063
1.07289,0.744115,6.065
1.08972,0.744309,6.067
1.10437,0.743031,6.057
1.12193,0.743715,6.063
0.877974,0.703952,5.864
0.889507,0.700427,5.835
0.903672,0.699062,5.824
0.91809,0.697937,5.815
0.934223,0.698132,5.817
0.951017,0.698806,5.823
0.971495,0.70212,5.851
1.03982,0.727583,6.064
1.05804,0.728733,6.074
1.07453,0.728683,6.074
1.09193,0.729232,6.079
1.10844,0.729182,6.079
1.1292,0.731889,6.102
0.87652,0.686803,5.854
0.889398,0.684414,5.834
0.903716,0.683197,5.824
0.918292,0.682215,5.816
0.93491,0.682757,5.821
0.951879,0.683533,5.828
1.0445,0.714235,6.091
1.06087,0.714069,6.09
1.07618,0.713199,6.083
1.0927,0.71315,6.083
1.1114,0.714507,6.095
0.864897,0.674219,5.883
0.876114,0.670509,5.851
0.889593,0.668634,5.835
0.904224,0.667674,5.827
0.918494,0.666485,5.817
0.934954,0.6669,5.821
0.953394,0.668689,5.837
1.0502,0.701426,6.124
1.06562,0.700576,6.117
1.07959,0.69881,6.102
1.0958,0.698532,6.1
1.1151,0.700201,6.115
0.876006,0.654454,5.85
0.890093,0.65307,5.838
0.904888,0.652245,5.831
0.91901,0.650972,5.82
0.935962,0.651712,5.827
0.954908,0.653794,5.846
0.986078,0.664038,5.938
0.877694,0.639711,5.861
0.890744,0.637596,5.842
0.905084,0.636464,5.832
0.919052,0.635113,5.82
0.936486,0.636162,5.83
0.956422,0.638848,5.855
0.98496,0.647097,5.931
0.878183,0.624054,5.864
0.890479,0.62146,5.84
0.904194,0.619931,5.826
0.91862,0.618932,5.817
0.936367,0.620168,5.829
0.956791,0.623105,5.857
0.984505,0.630616,5.928
0.876874,0.607135,5.855
0.890061,0.60523,5.837
0.902992,0.603221,5.818
0.918502,0.602974,5.816
0.935765,0.603867,5.825
0.956342,0.606832,5.854
0.888727,0.588408,5.828
0.903342,0.587562,5.82
0.919963,0.588028,5.825
0.936126,0.588191,5.827
