7,36,10,319
x,y,z
1.70038,1.50908,7.923
1.72489,1.51165,7.937
1.74682,1.51194,7.939
1.70219,1.48909,7.931
1.72563,1.49069,7.94
1.74714,1.4906,7.94
1.70379,1.46888,7.938
1.72681,1.47008,7.945
1.74789,1.46962,7.943
1.68407,1.4489,7.946
1.70667,1.44972,7.951
1.71191,1.43246,7.975
1.71544,1.41365,7.991
1.69478,1.32748,7.994
1.0378,0.874799,6.055
1.05372,0.87431,6.052
1.06945,0.873675,6.048
1.08551,0.873329,6.046
1.10248,0.873704,6.049
1.12093,0.875234,6.06
1.02039,0.857536,6.049
1.04077,0.860741,6.072
1.05552,0.859268,6.062
1.06933,0.857085,6.047
1.08557,0.856887,6.046
1.10436,0.858672,6.059
1.12524,0.862016,6.083
0.873894,0.827309,5.947
0.885732,0.823226,5.918
0.899237,0.820811,5.901
0.986917,0.826813,5.946
1.04357,0.846449,6.088
1.05819,0.844864,6.077
1.07151,0.842306,6.059
1.0885,0.842667,6.062
1.1066,0.843862,6.071
1.12622,0.846168,6.088
0.879527,0.816306,5.985
0.887726,0.808893,5.931
0.901268,0.806525,5.914
0.913784,0.803339,5.891
0.928223,0.801926,5.881
0.943248,0.801057,5.875
0.96134,0.802779,5.888
0.987301,0.810908,5.948
1.02556,0.828714,6.079
1.04482,0.830841,6.095
1.05859,0.828605,6.079
1.07263,0.826642,6.065
1.09035,0.827541,6.072
1.10903,0.82912,6.084
1.13035,0.832607,6.11
0.874285,0.795203,5.949
0.887924,0.792883,5.932
0.900707,0.789894,5.91
0.914608,0.787974,5.896
0.929378,0.786856,5.888
0.946028,0.787341,5.892
0.963024,0.788092,5.898
0.985029,0.792852,5.934
1.02764,0.813775,6.091
1.04625,0.815325,6.103
1.06126,0.814069,6.094
1.07551,0.812278,6.081
1.09274,0.812758,6.085
1.1109,0.813905,6.094
1.12652,0.813182,6.089
0.875949,0.780447,5.96
0.886475,0.775424,5.922
0.900755,0.773806,5.91
0.915122,0.772317,5.899
0.93069,0.771876,5.896
0.948004,0.772875,5.904
0.964217,0.772956,5.905
1.03039,0.799293,6.107
1.04836,0.800288,6.115
1.06253,0.798402,6.101
1.07751,0.797171,6.092
1.09405,0.797117,6.092
1.11169,0.797848,6.098
0.869234,0.758321,5.914
0.88757,0.760198,5.929
0.901565,0.758356,5.915
0.916877,0.757668,5.91
0.930896,0.755953,5.897
0.948535,0.757187,5.907
0.966389,0.758548,5.918
1.03399,0.785363,6.128
1.05133,0.785823,6.132
1.06659,0.784745,6.124
1.08128,0.783283,6.113
1.09734,0.782845,6.11
1.11502,0.78356,6.116
1.13699,0.787221,6.145
0.872219,0.744725,5.934
0.887616,0.744052,5.929
0.902831,0.743253,5.923
0.91801,0.742454,5.917
0.932522,0.741152,5.907
0.950028,0.742234,5.916
0.969541,0.74482,5.937
1.03674,0.770688,6.144
1.05326,0.770511,6.143
1.06891,0.769707,6.137
1.08434,0.768777,6.13
1.10009,0.768097,6.125
1.11836,0.769173,6.134
0.872852,0.729055,5.938
0.887961,0.72815,5.931
0.901809,0.726263,5.916
0.917746,0.726095,5.915
0.932727,0.72519,5.908
0.950558,0.726493,5.919
0.971385,0.730005,5.948
1.03747,0.754451,6.148
1.05469,0.754769,6.151
1.0714,0.754718,6.151
1.08687,0.753808,6.144
1.10319,0.753511,6.142
1.11969,0.753336,6.141
1.14062,0.756104,6.164
0.874807,0.71444,5.951
0.888455,0.712355,5.934
0.902312,0.71051,5.919
0.917792,0.709985,5.915
0.933404,0.709579,5.912
0.951407,0.710973,5.924
0.972576,0.714647,5.955
1.04039,0.739751,6.165
1.05731,0.739821,6.166
1.07336,0.739291,6.162
1.08975,0.739,6.16
1.10576,0.738469,6.156
1.12375,0.739257,6.163
1.13919,0.738366,6.156
0.874263,0.697758,5.947
0.88805,0.695837,5.931
0.901899,0.694034,5.916
0.917526,0.693638,5.913
0.93345,0.693476,5.912
0.952096,0.695307,5.928
0.973112,0.69878,5.958
1.04246,0.724369,6.177
1.05993,0.724789,6.181
1.0762,0.724388,6.178
1.09245,0.723986,6.175
1.10869,0.723584,6.172
1.12599,0.723885,6.175
0.875482,0.68247,5.955
0.888692,0.680136,5.935
0.902705,0.678488,5.921
0.91819,0.677987,5.917
0.934599,0.678172,5.919
0.953425,0.680075,5.936
1.10963,0.70735,6.177
0.877876,0.668032,5.971
0.889932,0.664858,5.943
0.903205,0.66269,5.924
0.918855,0.662312,5.921
0.935906,0.66294,5.927
0.954915,0.66491,5.945
0.878946,0.652522,5.978
0.891321,0.649643,5.952
0.904771,0.647637,5.934
0.919207,0.646395,5.923
0.935475,0.646462,5.924
0.954477,0.648383,5.942
0.877516,0.635162,5.968
0.890463,0.632781,5.946
0.904812,0.631463,5.934
0.92018,0.630891,5.929
0.935991,0.630636,5.927
0.954198,0.631978,5.94
